ID;NOM;STATUT;ROR;SIREN;FINESS;SiteWeb
I0373;QUEST DIAGNOSTICS LTD;Industrie;;424251874;;
I0374;REACTING;Public (France);;918197922;;
I0375;RECHERCHE EN SANTE RESPIRATOIRE (FOND DE DOTATION);Autre;;521979674;;
I0386;REGISTRE DES MALFORMATIONS EN RHONE ALPES (REMERA);Privé à but non lucratif;;494872328;;
I0388;REGISTRE DU CANCER DE L' ISERE;Privé à but non lucratif;;314023912;;
I0389;REGISTRE ELECTRONIQUE DES ARRETS CARDIAQUES (REAC);Privé à but non lucratif;;793074246;;
I0391;RESEAU DE CANCEROLOGIE D AQUITAINE (RCA);Autre;;509553368;;
I0392;ROTTAPHARM;Industrie;;379127780;;
I0393;SAMU-SOCIAL DE PARIS;Privé à but non lucratif;;187509013;750040594;
I0396;SARL PNEUMOLOGIE DEVELOPPEMENT;Autre;;410753727;;
I0397;SCOR SE;Industrie;;562033357;;
I0398;SIDACTION (ECS);Privé à but non lucratif;;398945543;;
I0399;SLA FONDATION RECHERCHE (SLAFR);Privé à but non lucratif;;831648704;;
I0400;SOCIETE DE PNEUMOLOGIE DE LANGUE FRANCAISE;Privé à but non lucratif;;310133608;;
I0404;SOCIETE FRANCAISE D'ENDOSCOPIE DIGESTIVE (SFED);Privé à but non lucratif;;318412954;;
I0405;SOCIETE FRANCAISE MEDECINE TRAVAIL (SFMT);Privé à but non lucratif;;439084229;;
I0406;SOCIETE FRANCOPHONE  DU  DIABETE;Privé à but non lucratif;;404995110;;
I0407;SOCIETE FRANCOPHONE D ETUDES ET DE RECHERCHES SUR LES HANDICAPS DE L ENFANCE (S.F.E.R.H.E);Privé à but non lucratif;;494451883;;
I0408;SOCIETE FRANCOPHONE NUTRITION CLINIQUE ET METABOLISME (SFNEP);Privé à but non lucratif;;409128337;;
I0410;SOCIETE NATIONALE FRANCAISE DE MEDECINE INTERNE (SNFMI);Privé à but non lucratif;;316607902;;
I0411;SOCIETE NATIONALE SNCF (SNCF);Industrie;;552049447;910000835;
I0413;SPECIA;Autre;;990111668;;
I0415;TAKEDA FRANCE SAS;Industrie;;785750266;;
I0416;TEREOS FRANCE;Industrie;;533247979;;
